Round,Player1,Player1_Deck,Player1_Wins,Player2,Player2_Deck,Player2_Wins,Draws,IsBye,Result
1,Avi Grinberg,Simic Rhythm,2,,,0,0,True,Avi Grinberg was assigned a bye
1,Brian Reagan,Izzet Spellementals,0,Heathe Butler,Izzet Lessons,2,0,False,Heathe Butler won 2-0-0
1,robert seder,Dimir Excruciator,2,DavidMSantiago,Dimir Excruciator,1,,False,robert seder won 2-1-0
1,Shane Grayson,Dimir Midrange,0,JaajWiiw,Azorius Control,2,0,False,JaajWiiw won 2-0-0
1,Tino Barraza,Dimir Midrange,0,Chandler Rainforth,Izzet Elementals,2,0,False,Chandler Rainforth won 2-0-0
1,Jackson Morris,Boros Quintorius,2,Pieter Tubergen,Izzet Lessons,1,0,False,Jackson Morris won 2-1-0
1,Dominic Stryker,Izzet Prowess,2,Yinan Wan,Sultai Reanimator,0,0,False,Dominic Stryker won 2-0-0
1,JustinKame,Azorius Tempo,2,AndrewHuber,Bant Omniscience,0,0,False,JustinKame won 2-0-0
1,Pete Bate,Grixis Elementals,1,ZackWind,Mono-Green Landfall,2,0,False,ZackWind won 2-1-0
1,GraW6,Azorius Control,2,Anthony Boxleiter,Izzet Dragons,0,0,False,GraW6 won 2-0-0
1,Jamillo Pascual,Mardu Demonic Pact,0,Dinonolan,Sultai Reanimator,2,0,False,Dinonolan won 2-0-0
1,Gabriel Nicholas,Izzet Prowess,2,LizardWizz,Izzet Elementals,1,0,False,Gabriel Nicholas won 2-1-0
1,Travis Canyock,Jeskai Control,0,Danilo Prieto,Mono-Green Landfall,2,0,False,Danilo Prieto won 2-0-0
1,David Boucher,Boros Aggro,0,FDiesel01,Gruul Landfall,2,0,False,FDiesel01 won 2-0-0
1,L Anselmi,Azorius Tempo,1,80HD,Bant Airbending,2,0,False,80HD won 2-1-0
1,Aleksander Jones,Azorius Tempo,2,Brendan Atkinson,Boros Dragons,1,0,False,Aleksander Jones won 2-1-0
1,Manny Bello,Izzet Lessons,1,Garrett Askin,Sultai Rhythm ,2,0,False,Garrett Askin won 2-1-0
1,Austin Hoth,Dimir Excruciator,2,Christopher Juliano,Boros Dragons,1,0,False,Austin Hoth won 2-1-0
1,Ben Whitmer,Simic Rhythm,0,Ben Bauer,Mono-Red Aggro,2,0,False,Ben Bauer won 2-0-0
1,Maxx Paustian,Mono-Green Landfall,0,TylerShull,Izzet Elementals,2,0,False,TylerShull won 2-0-0
1,Alexander Javed,Jeskai Artifacts,2,Junyuan Zheng,Temur Harmonizer,0,0,False,Alexander Javed won 2-0-0
1,Slater Claudel,Simic Rhythm,2,Carson Wolf,Four-Color Rhythm,1,0,False,Slater Claudel won 2-1-0
1,Peter Pawelski,Azorius Tempo,2,Joshua Malek,Dimir Excruciator,1,0,False,Peter Pawelski won 2-1-0
1,Javier Beasley,Mono-Green Landfall,1,GKraeft,Esper Pixie,2,0,False,GKraeft won 2-1-0
1,Conor Panuccio,Izzet Lessons,1,Sergeykr,Sultai Reanimator,2,0,False,Sergeykr won 2-1-0
1,Pierce Barham,Dimir Excruciator,0,Brendan Brown,Temur Harmonizer,2,0,False,Brendan Brown won 2-0-0
1,brandonsempire,Jeskai Control,0,Allen Norman,Mono-Green Landfall,2,0,False,Allen Norman won 2-0-0
